pic,name,type,rating,num_reviews,ranking,my_rank
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/dc/49/79/chateau-marmont.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g33252-d532034-Reviews-Chateau_Marmont-West_Hollywood_California.html'>Chateau Marmont</a>,Points of Interest & Landmarks,4.5,232.0,#124,1
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/cd/68/b9/textile-area.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d156676-Reviews-LA_Fashion_District-Los_Angeles_California.html'>LA Fashion District</a>,Neighborhoods,4.0,276.0,#113,2
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/a5/44/7e/rodeo-drive.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32070-d116580-Reviews-Rodeo_Drive-Beverly_Hills_California.html'>Rodeo Drive</a>,Points of Interest & Landmarks,4.0,5491.0,#9,3
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/db/57/03/add-a-caption.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d293308-Reviews-Abbot_Kinney_Boulevard-Los_Angeles_California.html'>Abbot Kinney Boulevard</a>,Points of Interest & Landmarks,4.5,407.0,#81,4
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e2/84/87/melrose-avenue.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g33252-d181612-Reviews-Melrose_Avenue-West_Hollywood_California.html'>Melrose Avenue</a>,Points of Interest & Landmarks,4.0,286.0,#107,5
<img class='img-responsive' src='nan'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d6876192-Reviews-Los_Angeles_Ballet-Los_Angeles_California.html'>Los Angeles Ballet</a>,Ballets,4.5,3.0,#267,6
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b7/0e/c6/usually-great-weather.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g33052-d103426-Reviews-Montana_Avenue-Santa_Monica_California.html'>Montana Avenue</a>,Points of Interest & Landmarks,4.5,321.0,#98,7
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/01/7d/a4/old-plaza.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d560867-Reviews-Old_Plaza-Los_Angeles_California.html'>Old Plaza</a>,Historic Sites,4.0,32.0,#238,8
<img class='img-responsive' src='https://cdn.vox-cdn.com/thumbor/yh1AWXxs_CQPXJuiCZu7S206HHE=/0x292:3500x2042/fit-in/1200x600/cdn.vox-cdn.com/uploads/chorus_asset/file/9160039/sriracha_.jpg'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32531-d8702286-Reviews-Huy_Fong_Foods-Irwindale_California.html'>Huy Fong Foods</a>,Factory Tours,5.0,64.0,#208,9
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/73/94/b6/old-pasadena.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32859-d1172242-Reviews-Old_Pasadena-Pasadena_California.html'>Old Pasadena</a>,Historic Walking Areas,4.5,683.0,#59,10
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/97/f1/78/the-santee-alley.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2695296-Reviews-The_Santee_Alley-Los_Angeles_California.html'>The Santee Alley</a>,Flea & Street Markets,3.5,132.0,#162,11
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b6/ce/1a/the-grill-at-the-venice.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32738-d5838070-Reviews-Venice_Room-Monterey_Park_California.html'>Venice Room</a>,Bars & Clubs,4.0,13.0,#257,12
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/0b/a4/7c/photo1jpg.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32070-d208652-Reviews-Two_Rodeo_Drive-Beverly_Hills_California.html'>Two Rodeo Drive</a>,Points of Interest & Landmarks,4.0,358.0,#91,13
<img class='img-responsive' src='https://i.pinimg.com/originals/2c/51/d5/2c51d57b227219ba93c2d715a7ae3225.jpg'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d127352-Reviews-Bradbury_Building-Los_Angeles_California.html'>Bradbury Building</a>,Architectural Buildings,4.5,621.0,#64,14
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/5b/75/4f/the-temple-s-exterior.jpg?w=900&h=500&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32655-d2513559-Reviews-Wat_Thai_of_Los_Angeles-Los_Angeles_California.html'>Wat Thai of Los Angeles</a>,Sacred & Religious Sites,4.5,15.0,#255,15
<img class='img-responsive' src='https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/00/ed/2e/caption.jpg?w=800&h=400&s=1'>,<a  href='https://www.tripadvisor.com/Attraction_Review-g32859-d127384-Reviews-The_Gamble_House-Pasadena_California.html'>The Gamble House</a>,Specialty Museums,4.5,588.0,#68,16
